,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
2165,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-08 07:00:00,28.145,28.215,27.245,27.64,15157200.0
2166,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-09 07:00:00,27.59,28.07,27.56,27.995,6789300.0
2167,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-10 07:00:00,27.905,27.985,27.775,27.85,3197800.0
2168,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-13 07:00:00,27.85,28.015,27.775,27.91,2901000.0
2169,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-14 07:00:00,27.93,27.96,27.555,27.62,5672800.0
2170,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-15 07:00:00,27.47,27.575,26.21,26.775,12632000.0
2171,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-16 07:00:00,27.09,27.42,26.7,27.05,6952900.0
2172,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-17 07:00:00,27.045,27.24,26.805,26.885,4303900.0
2173,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-20 07:00:00,26.88,27.13,26.66,27.0,5862800.0
2174,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-21 07:00:00,27.0,27.4,26.89,27.355,5800000.0
2175,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-22 07:00:00,27.385,27.385,26.915,27.115,5280500.0
2176,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-24 07:00:00,27.115,27.29,27.04,27.155,2417700.0
2177,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-27 07:00:00,27.0,27.65,26.95,27.645,5768000.0
2178,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-28 07:00:00,27.655,27.995,27.54,27.935,7709100.0
2179,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-01 07:00:00,28.05,28.15,27.8,28.105,6212100.0
2180,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-02 07:00:00,28.1,28.15,27.425,27.635,12103300.0
2181,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-03 07:00:00,27.645,27.88,27.645,27.805,4889600.0
2182,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-06 07:00:00,27.9,28.0,27.775,27.88,10837900.0
2183,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-07 07:00:00,27.8,27.91,27.72,27.76,5538100.0
2184,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-09 07:00:00,27.795,27.825,27.64,27.715,4111300.0
2185,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-10 07:00:00,27.68,27.74,27.5,27.715,4103600.0
2186,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-13 07:00:00,27.74,27.89,27.5,27.66,6384500.0
2187,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-14 07:00:00,27.775,27.805,27.605,27.68,5397000.0
2188,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-15 07:00:00,27.765,27.91,27.27,27.785,18021600.0
2189,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-16 07:00:00,27.8,28.5,27.58,28.03,17394400.0
2190,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-17 07:00:00,28.135,28.79,27.945,28.57,14189700.0
2191,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-03-20 07:00:00,28.605,29.55,28.265,29.415,24346000.0
